scripto_item_id,media_id,position,,left,right,
16,223,8,1/1/16/223,342,343,end
16,224,9,1/1/16/224,344,345,end
16,225,10,1/1/16/225,346,347,end
16,226,11,1/1/16/226,348,349,end
16,227,12,1/1/16/227,350,351,end
16,228,13,1/1/16/228,352,353,end
16,229,14,1/1/16/229,354,355,end
16,230,15,1/1/16/230,356,357,end
16,231,16,1/1/16/231,358,359,end
16,232,17,1/1/16/232,360,361,end
16,233,18,1/1/16/233,362,363,end
16,234,19,1/1/16/234,364,365,end
16,235,20,1/1/16/235,366,367,end
16,236,21,1/1/16/236,368,369,end
16,237,22,1/1/16/237,370,371,end
16,238,23,1/1/16/238,372,373,end
16,239,24,1/1/16/239,374,375,end
16,240,25,1/1/16/240,376,377,end
16,241,26,1/1/16/241,378,379,end
16,242,27,1/1/16/242,380,381,end
17,243,1,1/1/17/243,,,end
17,244,2,1/1/17/244,,,end
17,245,3,1/1/17/245,,387,end
17,246,4,1/1/17/246,388,389,end
17,247,5,1/1/17/247,390,391,end
17,248,6,1/1/17/248,392,393,end
17,249,7,1/1/17/249,394,395,end
17,250,8,1/1/17/250,396,397,end
