dcterms:title,dcterms:identifier,dcterms:relation
さわらひ,さわらひ,https://www.dl.ndl.go.jp/api/iiif/3437690/manifest.json
やとり木,やとり木,https://www.dl.ndl.go.jp/api/iiif/3437690/manifest.json
あつまや,あつまや,https://www.dl.ndl.go.jp/api/iiif/3437690/manifest.json
うき舟,うき舟,https://www.dl.ndl.go.jp/api/iiif/3437690/manifest.json
かけろふ,かけろふ,https://www.dl.ndl.go.jp/api/iiif/3437690/manifest.json
てならひ,てならひ,https://www.dl.ndl.go.jp/api/iiif/3437690/manifest.json
夢のうきはし,夢のうきはし,https://www.dl.ndl.go.jp/api/iiif/3437690/manifest.json
