dcterms:title,dcterms:identifier,dcterms:relation
きりつほ,きりつほ,https://www.dl.ndl.go.jp/api/iiif/3437686/manifest.json
はゝき木,はゝき木,https://www.dl.ndl.go.jp/api/iiif/3437686/manifest.json
うつせみ,うつせみ,https://www.dl.ndl.go.jp/api/iiif/3437686/manifest.json
夕かほ,夕かほ,https://www.dl.ndl.go.jp/api/iiif/3437686/manifest.json
わかむらさき,わかむらさき,https://www.dl.ndl.go.jp/api/iiif/3437686/manifest.json
すゑつむ花,すゑつむ花,https://www.dl.ndl.go.jp/api/iiif/3437686/manifest.json
もみちの賀,もみちの賀,https://www.dl.ndl.go.jp/api/iiif/3437686/manifest.json
花のえん,花のえん,https://www.dl.ndl.go.jp/api/iiif/3437686/manifest.json
あふひ,あふひ,https://www.dl.ndl.go.jp/api/iiif/3437686/manifest.json
さか木,さか木,https://www.dl.ndl.go.jp/api/iiif/3437686/manifest.json
花ちるさと,花ちるさと,https://www.dl.ndl.go.jp/api/iiif/3437686/manifest.json
