dcterms:title,dcterms:identifier,dcterms:relation
ほたる,ほたる,https://www.dl.ndl.go.jp/api/iiif/3437688/manifest.json
とこなつ,とこなつ,https://www.dl.ndl.go.jp/api/iiif/3437688/manifest.json
かゝり火,かゝり火,https://www.dl.ndl.go.jp/api/iiif/3437688/manifest.json
野わき,野わき,https://www.dl.ndl.go.jp/api/iiif/3437688/manifest.json
みゆき,みゆき,https://www.dl.ndl.go.jp/api/iiif/3437688/manifest.json
藤はかま,藤はかま,https://www.dl.ndl.go.jp/api/iiif/3437688/manifest.json
まきはしら,まきはしら,https://www.dl.ndl.go.jp/api/iiif/3437688/manifest.json
梅かえ,梅かえ,https://www.dl.ndl.go.jp/api/iiif/3437688/manifest.json
藤のうらは,藤のうらは,https://www.dl.ndl.go.jp/api/iiif/3437688/manifest.json
わかな上,わかな上,https://www.dl.ndl.go.jp/api/iiif/3437688/manifest.json
わかな下,わかな下,https://www.dl.ndl.go.jp/api/iiif/3437688/manifest.json
