dcterms:title,dcterms:identifier,dcterms:relation
かしは木,かしは木,https://www.dl.ndl.go.jp/api/iiif/3437689/manifest.json
よこ笛,よこ笛,https://www.dl.ndl.go.jp/api/iiif/3437689/manifest.json
すゝむし,すゝむし,https://www.dl.ndl.go.jp/api/iiif/3437689/manifest.json
夕きり,夕きり,https://www.dl.ndl.go.jp/api/iiif/3437689/manifest.json
みのり,みのり,https://www.dl.ndl.go.jp/api/iiif/3437689/manifest.json
まほろし,まほろし,https://www.dl.ndl.go.jp/api/iiif/3437689/manifest.json
にほふ兵部卿,にほふ兵部卿,https://www.dl.ndl.go.jp/api/iiif/3437689/manifest.json
こうはい,こうはい,https://www.dl.ndl.go.jp/api/iiif/3437689/manifest.json
たけ川,たけ川,https://www.dl.ndl.go.jp/api/iiif/3437689/manifest.json
はし姬,はし姬,https://www.dl.ndl.go.jp/api/iiif/3437689/manifest.json
しゐかもと,しゐかもと,https://www.dl.ndl.go.jp/api/iiif/3437689/manifest.json
あけまき,あけまき,https://www.dl.ndl.go.jp/api/iiif/3437689/manifest.json
