manifest,canvas,curation
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4c7f22cf-9fe1-5405-1f3a-c53b39e3a45e/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4c7f22cf-9fe1-5405-1f3a-c53b39e3a45e/canvas/p5,https://mp.ex.nii.ac.jp/api/kuronet/curation/8cebf8966ac92ef6662913b562f8d86b1a8430ed
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4c7f22cf-9fe1-5405-1f3a-c53b39e3a45e/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4c7f22cf-9fe1-5405-1f3a-c53b39e3a45e/canvas/p4,https://mp.ex.nii.ac.jp/api/kuronet/curation/b649c56d1033fad84c121a23902094ee868c837a
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4c7f22cf-9fe1-5405-1f3a-c53b39e3a45e/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4c7f22cf-9fe1-5405-1f3a-c53b39e3a45e/canvas/p4,https://mp.ex.nii.ac.jp/api/kuronet/curation/06a099b0b6026f790bb5bf22487c7b609aa95346
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4c7f22cf-9fe1-5405-1f3a-c53b39e3a45e/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4c7f22cf-9fe1-5405-1f3a-c53b39e3a45e/canvas/p3,https://mp.ex.nii.ac.jp/api/kuronet/curation/eb91845db37599af55f898503ff74e8d7a9e1c36
https://kotenseki.nijl.ac.jp/biblio/200003299/manifest,https://kotenseki.nijl.ac.jp/biblio/200003299/canvas/1,https://mp.ex.nii.ac.jp/api/kuronet/curation/15816a24f7f7db32d0554dea6a51c3d9308e8c18
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fe453878-946c-4b2b-bdc8-e0ca25c6cc7a/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fe453878-946c-4b2b-bdc8-e0ca25c6cc7a/canvas/p33,https://mp.ex.nii.ac.jp/api/kuronet/curation/d83b4d84b9ce0982e8bd4ea3bdc831dd82d29916
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fe453878-946c-4b2b-bdc8-e0ca25c6cc7a/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fe453878-946c-4b2b-bdc8-e0ca25c6cc7a/canvas/p44,https://mp.ex.nii.ac.jp/api/kuronet/curation/659d8d72d586e800a193921a4256b41e0435d014
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fe453878-946c-4b2b-bdc8-e0ca25c6cc7a/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fe453878-946c-4b2b-bdc8-e0ca25c6cc7a/canvas/p33,https://mp.ex.nii.ac.jp/api/kuronet/curation/02a61dbcaf13bbbd26d6e9e862aed1f161e40d8d
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d230f1f8-5929-4138-bb28-1108d77fd32a/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d230f1f8-5929-4138-bb28-1108d77fd32a/canvas/p3,https://mp.ex.nii.ac.jp/api/kuronet/curation/6cadd0acc1706854f1873e218559924efc40398a
http://codh.rois.ac.jp/pmjt/book/200003080/manifest.json,http://codh.rois.ac.jp/pmjt/iiif/200003080/canvas/00006,https://mp.ex.nii.ac.jp/api/kuronet/curation/91736f81734345718c3a1b4da1f1f9b87d6e2ce2
http://codh.rois.ac.jp/pmjt/book/200003080/manifest.json,http://codh.rois.ac.jp/pmjt/iiif/200003080/canvas/00006,https://mp.ex.nii.ac.jp/api/kuronet/curation/ad2b5d002b10caa20e017f46df63da38250e4f91
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p31,https://mp.ex.nii.ac.jp/api/kuronet/curation/06869c44f1fb56b1d28957bcc4cf7d35f80b851e
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p30,https://mp.ex.nii.ac.jp/api/kuronet/curation/3f7bb3928cb57d8fe38fbec046bc278bde43dd2d
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p30,https://mp.ex.nii.ac.jp/api/kuronet/curation/21b2685166476473dd562664d5d6f92e6a7b870a
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p29,https://mp.ex.nii.ac.jp/api/kuronet/curation/390ffa80342536201cb7f2cd04fc7aff073c24f1
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p29,https://mp.ex.nii.ac.jp/api/kuronet/curation/58f41eb52fa1c5b00e0fa656b2f2bf5e695a39ca
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p28,https://mp.ex.nii.ac.jp/api/kuronet/curation/33b91544b4bee20fa1bc045a7e0c4072218e61d5
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p28,https://mp.ex.nii.ac.jp/api/kuronet/curation/876f2e1f5a2ac7775085b6d9994a376d3088f036
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p27,https://mp.ex.nii.ac.jp/api/kuronet/curation/fabf236b61d52f958ab47d5235eea3470de8bac4
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p27,https://mp.ex.nii.ac.jp/api/kuronet/curation/dba6166252e9e66f80cea656d9cd31b1e7629080
