manifest,member_id,label,line_id,sort
https://nakamura196.github.io/genji/ugm/kyushu/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411193/canvas/p9#xywh=342,51,24,736",源氏物語大成 p.9,https://w3id.org/kouigenjimonogatari/data/0009-01.json,00009-00342
https://nakamura196.github.io/genji/ugm/kyushu/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411193/canvas/p34#xywh=512,60,30,730",源氏物語大成 p.21,https://w3id.org/kouigenjimonogatari/data/0021-01.json,00021-00512
https://nakamura196.github.io/genji/ugm/kyushu/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411193/canvas/p48#xywh=342,50,30,737",源氏物語大成 p.28,https://w3id.org/kouigenjimonogatari/data/0028-01.json,00028-00342
https://nakamura196.github.io/genji/ugm/kyushu/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411193/canvas/p21#xywh=217,52,24,735",源氏物語大成 p.15,https://w3id.org/kouigenjimonogatari/data/0015-01.json,00015-00217
https://nakamura196.github.io/genji/ugm/kyushu/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411193/canvas/p38#xywh=465,53,24,734",源氏物語大成 p.23,https://w3id.org/kouigenjimonogatari/data/0023-01.json,00023-00465
https://nakamura196.github.io/genji/ugm/kyushu/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411193/canvas/p44#xywh=381,54,24,733",源氏物語大成 p.26,https://w3id.org/kouigenjimonogatari/data/0026-01.json,00026-00381
https://nakamura196.github.io/genji/ugm/kyushu/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411193/canvas/p1#xywh=473,58,24,732",源氏物語大成 p.5,https://w3id.org/kouigenjimonogatari/data/0005-01.json,00005-00473
https://nakamura196.github.io/genji/ugm/kyushu/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411193/canvas/p27#xywh=174,55,24,732",源氏物語大成 p.18,https://w3id.org/kouigenjimonogatari/data/0018-01.json,00018-00174
https://nakamura196.github.io/genji/ugm/kyushu/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411193/canvas/p25#xywh=260,59,30,728",源氏物語大成 p.17,https://w3id.org/kouigenjimonogatari/data/0017-01.json,00017-00260
https://nakamura196.github.io/genji/ugm/kyushu/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411193/canvas/p40#xywh=471,56,24,731",源氏物語大成 p.24,https://w3id.org/kouigenjimonogatari/data/0024-01.json,00024-00471
https://nakamura196.github.io/genji/ugm/kyushu/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411193/canvas/p29#xywh=88,53,30,734",源氏物語大成 p.19,https://w3id.org/kouigenjimonogatari/data/0019-01.json,00019-00088
https://nakamura196.github.io/genji/ugm/kyushu/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411193/canvas/p17#xywh=258,46,24,741",源氏物語大成 p.13,https://w3id.org/kouigenjimonogatari/data/0013-01.json,00013-00258
https://nakamura196.github.io/genji/ugm/kyushu/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411193/canvas/p5#xywh=432,56,24,729",源氏物語大成 p.7,https://w3id.org/kouigenjimonogatari/data/0007-01.json,00007-00432
https://nakamura196.github.io/genji/ugm/kyushu/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411193/canvas/p19#xywh=259,57,24,730",源氏物語大成 p.14,https://w3id.org/kouigenjimonogatari/data/0014-01.json,00014-00259
https://nakamura196.github.io/genji/ugm/kyushu/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411193/canvas/p23#xywh=265,55,30,732",源氏物語大成 p.16,https://w3id.org/kouigenjimonogatari/data/0016-01.json,00016-00265
https://nakamura196.github.io/genji/ugm/kyushu/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411193/canvas/p7#xywh=344,58,18,727",源氏物語大成 p.8,https://w3id.org/kouigenjimonogatari/data/0008-01.json,00008-00344
https://nakamura196.github.io/genji/ugm/kyushu/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411193/canvas/p15#xywh=262,52,24,735",源氏物語大成 p.12,https://w3id.org/kouigenjimonogatari/data/0012-01.json,00012-00262
https://nakamura196.github.io/genji/ugm/kyushu/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411193/canvas/p3#xywh=479,49,24,736",源氏物語大成 p.6,https://w3id.org/kouigenjimonogatari/data/0006-01.json,00006-00479
https://nakamura196.github.io/genji/ugm/kyushu/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411193/canvas/p46#xywh=382,64,24,723",源氏物語大成 p.27,https://w3id.org/kouigenjimonogatari/data/0027-01.json,00027-00382
https://nakamura196.github.io/genji/ugm/kyushu/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411193/canvas/p11#xywh=305,50,24,737",源氏物語大成 p.10,https://w3id.org/kouigenjimonogatari/data/0010-01.json,00010-00305
https://nakamura196.github.io/genji/ugm/kyushu/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411193/canvas/p42#xywh=423,51,30,736",源氏物語大成 p.25,https://w3id.org/kouigenjimonogatari/data/0025-01.json,00025-00423
https://nakamura196.github.io/genji/ugm/kyushu/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411193/canvas/p36#xywh=512,55,30,735",源氏物語大成 p.22,https://w3id.org/kouigenjimonogatari/data/0022-01.json,00022-00512
https://nakamura196.github.io/genji/ugm/kyushu/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411193/canvas/p31#xywh=42,58,24,729",源氏物語大成 p.20,https://w3id.org/kouigenjimonogatari/data/0020-01.json,00020-00042
https://nakamura196.github.io/genji/ugm/kyushu/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411193/canvas/p13#xywh=306,57,24,730",源氏物語大成 p.11,https://w3id.org/kouigenjimonogatari/data/0011-01.json,00011-00306
https://nakamura196.github.io/genji/ugm/kyushu2/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411265/canvas/p18#xywh=610,190,24,885",源氏物語大成 p.12,https://w3id.org/kouigenjimonogatari/data/0012-01.json,00012-00610
https://nakamura196.github.io/genji/ugm/kyushu2/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411265/canvas/p2#xywh=620,196,24,879",源氏物語大成 p.5,https://w3id.org/kouigenjimonogatari/data/0005-01.json,00005-00620
https://nakamura196.github.io/genji/ugm/kyushu2/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411265/canvas/p35#xywh=362,204,42,871",源氏物語大成 p.20,https://w3id.org/kouigenjimonogatari/data/0020-01.json,00020-00362
https://nakamura196.github.io/genji/ugm/kyushu2/manifest/01.json,"https://catalog.lib.kyushu-u.ac.jp/image/411265/canvas/p11#xywh=588,200,30,875",源氏物語大成 p.9,https://w3id.org/kouigenjimonogatari/data/0009-01.json,00009-00588
